iter	MultiRMSE
0	18.41118237
1	18.05344124
2	17.70804546
3	17.37779992
4	17.05320477
5	16.74883989
6	16.45256919
7	16.16586817
8	15.89411911
9	15.63117433
10	15.38569882
11	15.14122769
12	14.9153776
13	14.68400462
14	14.4718937
15	14.25516346
16	14.05640282
17	13.86119462
18	13.68391212
19	13.51025357
20	13.34347935
21	13.1828923
22	13.03011071
23	12.88446128
24	12.74324487
25	12.61321533
26	12.4790541
27	12.35663919
28	12.23257031
29	12.11851034
30	12.01068746
31	11.90474026
32	11.80269827
33	11.71438304
34	11.62795196
35	11.54284353
36	11.45271449
37	11.37386121
38	11.29887223
39	11.23148918
40	11.16281687
41	11.09464352
42	11.0315333
43	10.97060477
44	10.91148831
45	10.8540249
46	10.79929404
47	10.74752635
48	10.69579797
49	10.65272717
50	10.60596562
51	10.55621692
52	10.50766275
53	10.47111745
54	10.42368731
55	10.38481714
56	10.34443293
57	10.30714903
58	10.27169564
59	10.23960968
60	10.20584327
61	10.17334505
62	10.14221541
63	10.11176559
64	10.08497401
65	10.05674123
66	10.02948345
67	10.00051577
68	9.977369574
69	9.954845693
70	9.929287752
71	9.906843622
72	9.885111231
73	9.862387482
74	9.845762559
75	9.825139679
76	9.802664256
77	9.752744282
78	9.732876083
79	9.713226495
80	9.695351145
81	9.679652212
82	9.664173719
83	9.649650168
84	9.631824556
85	9.617797372
86	9.573106705
87	9.562313543
88	9.551188199
89	9.535261956
90	9.520419175
91	9.476456646
92	9.467387768
93	9.45521139
94	9.440922155
95	9.429603583
96	9.387465357
97	9.372480287
98	9.332379291
99	9.294837048
100	9.255117422
101	9.244468317
102	9.229832069
103	9.218595061
104	9.201617788
105	9.166808238
106	9.156620065
107	9.135951211
108	9.099897689
109	9.088790216
110	9.079569566
111	9.054364136
112	9.023506436
113	9.015146543
114	9.004961472
115	8.997038332
116	8.991602351
117	8.982057633
118	8.970830141
119	8.965265673
120	8.937699735
121	8.928677694
122	8.92309004
123	8.915573043
124	8.910087108
125	8.898569991
126	8.869394371
127	8.861403434
128	8.853300275
129	8.843595562
130	8.816913938
131	8.808851608
132	8.787234909
133	8.780781724
134	8.759499682
135	8.752379441
136	8.745350432
137	8.739340136
138	8.716137987
139	8.710274836
140	8.685987516
141	8.663720688
142	8.657125087
143	8.636843416
144	8.633085734
145	8.620054044
146	8.599206111
147	8.576886011
148	8.570862297
149	8.567177562
150	8.560932719
151	8.54068522
152	8.527320796
153	8.520241838
154	8.501360444
155	8.483769869
156	8.466169668
157	8.450039169
158	8.444053933
159	8.434714302
160	8.429809685
161	8.423300684
162	8.41811517
163	8.412404959
164	8.406308942
165	8.401890111
166	8.398928016
167	8.392040218
168	8.374437004
169	8.369817394
170	8.366952969
171	8.349417269
172	8.345656024
173	8.340794559
174	8.333956392
175	8.329145868
176	8.32310353
177	8.319135609
178	8.313452277
179	8.288573483
180	8.270367903
181	8.25827645
182	8.256270729
183	8.250292594
184	8.229336636
185	8.223649703
186	8.220557596
187	8.214650117
188	8.210563502
189	8.194907929
190	8.191325313
191	8.189492443
192	8.186206323
193	8.169666601
194	8.15731874
195	8.140600959
196	8.13541055
197	8.132143026
198	8.121051551
199	8.117664067
200	8.098826676
201	8.093893723
202	8.086014723
203	8.071067309
204	8.067808612
205	8.065508406
206	8.052141575
207	8.048807052
208	8.046050069
209	8.043746023
210	8.039587376
211	8.0223468
212	8.01077646
213	8.003956788
214	8.001429529
215	7.995637771
216	7.993673095
217	7.987416946
218	7.984559904
219	7.981096493
220	7.977952449
221	7.972986893
222	7.968486283
223	7.965896209
224	7.962133388
225	7.958674652
226	7.954226472
227	7.947623982
228	7.944156532
229	7.934407592
230	7.932345655
231	7.928301154
232	7.926510752
233	7.922972068
234	7.921024522
235	7.91801083
236	7.914555411
237	7.901188051
238	7.889075178
239	7.884798057
240	7.880928418
241	7.867875427
242	7.859306776
243	7.852903613
244	7.841679818
245	7.838171979
246	7.832807985
247	7.82143867
248	7.815649179
249	7.810187796
250	7.808110649
251	7.80497416
252	7.798793459
253	7.794682823
254	7.790444491
255	7.786690976
256	7.780911496
257	7.777204517
258	7.77077538
259	7.76624618
260	7.764065283
261	7.759109677
262	7.75532087
263	7.753226593
264	7.750245708
265	7.747367912
266	7.743637349
267	7.740379229
268	7.73613562
269	7.733469408
270	7.731690674
271	7.728386683
272	7.726422333
273	7.723633552
274	7.716160878
275	7.712962307
276	7.709931221
277	7.706613302
278	7.704379813
279	7.694355143
280	7.690379667
281	7.685247991
282	7.679638163
283	7.676830111
284	7.67344462
285	7.665101907
286	7.662952893
287	7.651837559
288	7.650166289
289	7.643683348
290	7.639057813
291	7.636396914
292	7.634153715
293	7.627969248
294	7.626208714
295	7.622793533
296	7.618667218
297	7.61523313
298	7.613170881
299	7.610299913
300	7.603030253
301	7.600544566
302	7.598211777
303	7.595944481
304	7.59360471
305	7.585837159
306	7.580302317
307	7.576130403
308	7.569926643
309	7.566615144
310	7.564333416
311	7.561624253
312	7.558284789
313	7.553362272
314	7.54794582
315	7.545957254
316	7.543938786
317	7.541317674
318	7.539147488
319	7.535024335
320	7.529881722
321	7.528223332
322	7.525684111
323	7.522567988
324	7.52114675
325	7.519709331
326	7.517130981
327	7.515092757
328	7.510962742
329	7.509482497
330	7.506515763
331	7.504003521
332	7.501026272
333	7.50000675
334	7.498100736
335	7.491905873
336	7.488214657
337	7.486497837
338	7.485415655
339	7.478260945
340	7.477114004
341	7.473490775
342	7.470482969
343	7.465432446
344	7.463686955
345	7.461713655
346	7.458642707
347	7.457063725
348	7.454652314
349	7.451222717
350	7.448481933
351	7.444211532
352	7.44014267
353	7.43801091
354	7.436023197
355	7.430946793
356	7.427048079
357	7.425287226
358	7.423457549
359	7.418384269
360	7.416313841
361	7.413515775
362	7.405505276
363	7.403023254
364	7.39816869
365	7.394799492
366	7.388616858
367	7.377252676
368	7.374472589
369	7.37106111
370	7.36850907
371	7.366186025
372	7.362555454
373	7.359556427
374	7.357439275
375	7.351209552
376	7.349273931
377	7.345670605
378	7.342869996
379	7.340113445
380	7.337519422
381	7.334416434
382	7.330064587
383	7.329259712
384	7.326973555
385	7.319805528
386	7.315705619
387	7.313842707
388	7.31162611
389	7.309320581
390	7.308264948
391	7.306252974
392	7.304352179
393	7.302232171
394	7.30119393
395	7.299566867
396	7.297867498
397	7.295845458
398	7.294798315
399	7.292388127
400	7.290671203
401	7.289248036
402	7.285376896
403	7.280005324
404	7.275881464
405	7.273783795
406	7.271053084
407	7.268163863
408	7.265371867
409	7.263401142
410	7.25678693
411	7.254422855
412	7.252403414
413	7.250309278
414	7.247282137
415	7.244921566
416	7.242038743
417	7.239649175
418	7.235268922
419	7.232186203
420	7.231409699
421	7.224582676
422	7.223170626
423	7.221655321
424	7.218760309
425	7.216610455
426	7.213879856
427	7.211110649
428	7.208028107
429	7.204087467
430	7.202560845
431	7.192529081
432	7.190399797
433	7.187948455
434	7.185894665
435	7.184126364
436	7.179199442
437	7.178355976
438	7.174203344
439	7.170844543
440	7.168586218
441	7.16521928
442	7.163720049
443	7.163086287
444	7.159402797
445	7.15778356
446	7.15572028
447	7.151963609
448	7.149202983
449	7.146616368
450	7.143951183
451	7.141476787
452	7.139599127
453	7.136150059
454	7.134055998
455	7.132939211
456	7.130725349
457	7.127256549
458	7.12619415
459	7.120031747
460	7.11426641
461	7.112129261
462	7.11096516
463	7.107269669
464	7.106289754
465	7.103630203
466	7.101550729
467	7.098316784
468	7.096806718
469	7.094786631
470	7.092126051
471	7.090191485
472	7.08813958
473	7.086350042
474	7.084831124
475	7.082959476
476	7.079936093
477	7.077985967
478	7.076580161
479	7.067775391
480	7.065059441
481	7.061910633
482	7.058691597
483	7.056638169
484	7.055415877
485	7.052979594
486	7.049738988
487	7.046334966
488	7.044894413
489	7.038717121
490	7.037098301
491	7.035757627
492	7.034376784
493	7.032366742
494	7.028859489
495	7.027670432
496	7.023335022
497	7.019759354
498	7.016940856
499	7.014833419
500	7.013760112
501	7.012610765
502	7.008808124
503	7.007686593
504	7.002607651
505	7.001841674
506	6.999348113
507	6.997669913
508	6.996218344
509	6.990536331
510	6.987908193
511	6.985140953
512	6.982892605
513	6.980853624
514	6.979146322
515	6.977699841
516	6.975554838
517	6.97363755
518	6.972288332
519	6.970760053
520	6.968891792
521	6.967834082
522	6.966621102
523	6.964701436
524	6.962551043
525	6.96061998
526	6.958302177
527	6.955595981
528	6.954627779
529	6.952863356
530	6.951530438
531	6.949718481
532	6.948207071
533	6.94548765
534	6.943396171
535	6.940706204
536	6.93929773
537	6.937743069
538	6.936645142
539	6.934394235
540	6.930754662
541	6.929382963
542	6.925362625
543	6.92338827
544	6.920892326
545	6.918433826
546	6.917404866
547	6.9166185
548	6.915626397
549	6.914025484
550	6.910957589
551	6.909975883
552	6.90763841
553	6.905921439
554	6.90344089
555	6.902256689
556	6.901304956
557	6.899494501
558	6.896322224
559	6.894366764
560	6.892404562
561	6.89110795
562	6.887164083
563	6.886058434
564	6.884194058
565	6.882243303
566	6.873115572
567	6.870952568
568	6.868391166
569	6.865833878
570	6.863298079
571	6.860184199
572	6.85872522
573	6.857297826
574	6.856721595
575	6.855541019
576	6.850978633
577	6.849745654
578	6.847532475
579	6.840069219
580	6.839281152
581	6.837749196
582	6.836560027
583	6.832902375
584	6.827313164
585	6.825847165
586	6.823989158
587	6.819228865
588	6.817104224
589	6.815307647
590	6.812920065
591	6.811074284
592	6.81026893
593	6.809051645
594	6.804769451
595	6.803598988
596	6.803044941
597	6.801888296
598	6.800472535
599	6.798454863
600	6.796864534
601	6.795984825
602	6.794577311
603	6.792341587
604	6.789502032
605	6.787594049
606	6.785785702
607	6.778386554
608	6.776706046
609	6.775290179
610	6.77381046
611	6.771118551
612	6.769525313
613	6.766230061
614	6.760669746
615	6.758763592
616	6.755821378
617	6.754354995
618	6.750964328
619	6.748357324
620	6.747178751
621	6.744530457
622	6.740194417
623	6.737488994
624	6.735414826
625	6.734871591
626	6.732766209
627	6.730068103
628	6.727802002
629	6.725447781
630	6.722583174
631	6.721506425
632	6.719787843
633	6.716576683
634	6.713963433
635	6.711807521
636	6.710491003
637	6.709064438
638	6.707542116
639	6.702463777
640	6.699996646
641	6.699452532
642	6.694085238
643	6.69320007
644	6.691095793
645	6.687592914
646	6.686321851
647	6.681392478
648	6.679800458
649	6.678305784
650	6.677316241
651	6.675888965
652	6.674960208
653	6.673414413
654	6.671814547
655	6.671142292
656	6.669041777
657	6.667420922
658	6.66476778
659	6.663947131
660	6.661552481
661	6.659617118
662	6.658008923
663	6.656370216
664	6.653919929
665	6.651839996
666	6.650084092
667	6.647840021
668	6.645660255
669	6.644406751
670	6.642040155
671	6.640014406
672	6.637722555
673	6.636516035
674	6.635097472
